"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"traffic-simulation.nlogox"
"StressTest_Semaforo_Pare"
"09/10/2026 15:38:47:314 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","method","red-spawn","blue-spawn","has-seed","seed","[step]","fluxo-vermelhos","fluxo-azuis","tempo-total-vermelhos","tempo-total-azuis"
"260","red light","25","4","true","1","5000","843","199","38067.06810675351","3395.7253703887595"
"262","red light","26","4","true","1","5000","852","205","37837.867261396306","3712.5580112572125"
"263","stop sign","27","4","true","1","5000","1151","200","4507.018731915389","28027.434480649605"
"261","stop sign","26","4","true","1","5000","1157","193","4120.174800509862","21679.892588305738"
"266","red light","28","4","true","1","5000","872","191","39586.59465616341","2856.909924444465"
"264","red light","27","4","true","1","5000","871","204","38152.49815895888","3223.0849325374056"
"265","stop sign","28","4","true","1","5000","1236","160","5641.894191775137","46234.74306134714"
"268","red light","29","4","true","1","5000","871","203","40172.79665053944","3518.999110256176"
"252","red light","21","4","true","1","5000","826","199","30608.24244166531","3074.08645146935"
"276","red light","33","4","true","1","5000","875","197","42378.73738001926","3073.061479189276"
"269","stop sign","30","4","true","1","5000","1271","156","6579.5097411028055","56487.58249514855"
"270","red light","30","4","true","1","5000","858","172","41967.55660541463","2500.30950180507"
"271","stop sign","31","4","true","1","5000","1309","119","5970.294425154419","59355.78314598902"
"282","red light","1","5","true","1","5000","39","267","455.8260284402335","4939.2502020068705"
"281","stop sign","1","5","true","1","5000","54","219","70.1152147612534","291.896197047502"
"267","stop sign","29","4","true","1","5000","1205","155","4619.8690168508365","49621.02912404657"
"279","stop sign","35","4","true","1","5000","1414","83","8980.90602764369","65275.366148811234"
"284","red light","2","5","true","1","5000","95","236","1443.0768152687085","4282.987001888493"
"275","stop sign","33","4","true","1","5000","1345","85","6969.048835151345","57895.34007384983"
"278","red light","34","4","true","1","5000","861","212","42775.6301338372","3328.0579982190297"
"285","stop sign","3","5","true","1","5000","144","262","135.7461356988196","705.631747764154"
"277","stop sign","34","4","true","1","5000","1401","77","7908.9782585506855","50408.372413255085"
"286","red light","3","5","true","1","5000","153","234","2582.904694030445","4411.380390396734"
"280","red light","35","4","true","1","5000","882","195","43111.15671007534","3273.424274786582"
"288","red light","4","5","true","1","5000","193","247","3020.2490516783364","4095.865301385098"
"291","stop sign","6","5","true","1","5000","302","229","413.60747682932254","871.8588492128347"
"289","stop sign","5","5","true","1","5000","260","257","298.5846711110083","737.7560536707936"
"292","red light","6","5","true","1","5000","294","248","5089.202739220085","4341.367285698998"
"293","stop sign","7","5","true","1","5000","323","232","511.4830093880156","821.9992643840903"
"287","stop sign","4","5","true","1","5000","205","243","214.91464597773643","551.2164085682663"
"295","stop sign","8","5","true","1","5000","393","252","613.2559236872405","1403.420245697899"
"294","red light","7","5","true","1","5000","333","248","6656.259423019757","3633.8800163766755"
